op,size,threads,trial,time
sm,64,5,12,0.001
sm,64,5,13,0.001
sm,64,5,14,0.001
sm,64,5,15,0.001
sm,64,5,16,0.001
sm,64,5,17,0.001
sm,64,5,18,0.001
sm,64,5,19,0.001
sm,64,6,0,0.001
sm,64,6,1,0.001
sm,64,6,2,0.001
sm,64,6,3,0.001
sm,64,6,4,0.001
sm,64,6,5,0.001
sm,64,6,6,0.001
sm,64,6,7,0.001
sm,64,6,8,0.001
sm,64,6,9,0.001
sm,64,6,10,0.001
sm,64,6,11,0.001
sm,64,6,12,0.001
sm,64,6,13,0.001
sm,64,6,14,0.001
sm,64,6,15,0.001
sm,64,6,16,0.001
sm,64,6,17,0.001
sm,64,6,18,0.001
sm,64,6,19,0.001
sm,64,7,0,0.001
sm,64,7,1,0.001
sm,64,7,2,0.001
sm,64,7,3,0.001
sm,64,7,4,0.001
sm,64,7,5,0.001
sm,64,7,6,0.001
sm,64,7,7,0.001
sm,64,7,8,0.001
sm,64,7,9,0.001
sm,64,7,10,0.001
sm,64,7,11,0.001
sm,64,7,12,0.001
sm,64,7,13,0.001
sm,64,7,14,0.001
sm,64,7,15,0.001
sm,64,7,16,0.001
sm,64,7,17,0.001
sm,64,7,18,0.001
sm,64,7,19,0.001
sm,64,8,0,0.001
sm,64,8,1,0.001
sm,64,8,2,0.001
sm,64,8,3,0.001
sm,64,8,4,0.001
sm,64,8,5,0.001
sm,64,8,6,0.001
sm,64,8,7,0.001
sm,64,8,8,0.001
sm,64,8,9,0.001
sm,64,8,10,0.001
sm,64,8,11,0.001
sm,64,8,12,0.001
sm,64,8,13,0.001
sm,64,8,14,0.001
sm,64,8,15,0.001
sm,64,8,16,0.001
sm,64,8,17,0.001
sm,64,8,18,0.001
sm,64,8,19,0.001
sm,128,1,0,0.0
sm,128,1,1,0.0
sm,128,1,2,0.0
sm,128,1,3,0.0
sm,128,1,4,0.0
sm,128,1,5,0.0
sm,128,1,6,0.0
sm,128,1,7,0.0
sm,128,1,8,0.0
sm,128,1,9,0.0
sm,128,1,10,0.0
sm,128,1,11,0.0
sm,128,1,12,0.0
sm,128,1,13,0.0
sm,128,1,14,0.0
sm,128,1,15,0.0
sm,128,1,16,0.0
sm,128,1,17,0.0
sm,128,1,18,0.0
sm,128,1,19,0.0
sm,128,2,0,0.0
sm,128,2,1,0.0
sm,128,2,2,0.0
sm,128,2,3,0.0
sm,128,2,4,0.0
sm,128,2,5,0.0
sm,128,2,6,0.0
sm,128,2,7,0.0
sm,128,2,8,0.0
sm,128,2,9,0.0
sm,128,2,10,0.0
sm,128,2,11,0.0
sm,128,2,12,0.0
sm,128,2,13,0.0
sm,128,2,14,0.0
sm,128,2,15,0.0
sm,128,2,16,0.0
sm,128,2,17,0.0
sm,128,2,18,0.0
sm,128,2,19,0.0
sm,128,3,0,0.001
sm,128,3,1,0.0
sm,128,3,2,0.001
sm,128,3,3,0.001
sm,128,3,4,0.001
sm,128,3,5,0.001
sm,128,3,6,0.001
sm,128,3,7,0.001
sm,128,3,8,0.001
sm,128,3,9,0.001
sm,128,3,10,0.001
sm,128,3,11,0.001
sm,128,3,12,0.001
sm,128,3,13,0.0
sm,128,3,14,0.001
sm,128,3,15,0.001
sm,128,3,16,0.001
sm,128,3,17,0.001
sm,128,3,18,0.0
sm,128,3,19,0.001
sm,128,4,0,0.001
sm,128,4,1,0.001
sm,128,4,2,0.001
sm,128,4,3,0.001
sm,128,4,4,0.001
sm,128,4,5,0.001
sm,128,4,6,0.001
sm,128,4,7,0.001
sm,128,4,8,0.001
sm,128,4,9,0.001
sm,128,4,10,0.001
sm,128,4,11,0.001
sm,128,4,12,0.001
sm,128,4,13,0.001
sm,128,4,14,0.001
sm,128,4,15,0.001
sm,128,4,16,0.001
sm,128,4,17,0.001
sm,128,4,18,0.001
sm,128,4,19,0.001
sm,128,5,0,0.001
sm,128,5,1,0.001
sm,128,5,2,0.001
sm,128,5,3,0.001
sm,128,5,4,0.001
sm,128,5,5,0.001
sm,128,5,6,0.001
sm,128,5,7,0.001
sm,128,5,8,0.001
sm,128,5,9,0.001
sm,128,5,10,0.001
sm,128,5,11,0.001
sm,128,5,12,0.001
sm,128,5,13,0.001
sm,128,5,14,0.001
sm,128,5,15,0.001
sm,128,5,16,0.001
sm,128,5,17,0.001
sm,128,5,18,0.001
sm,128,5,19,0.001
sm,128,6,0,0.001
sm,128,6,1,0.001
sm,128,6,2,0.001
sm,128,6,3,0.001
sm,128,6,4,0.001
sm,128,6,5,0.001
sm,128,6,6,0.001
sm,128,6,7,0.001
sm,128,6,8,0.001
sm,128,6,9,0.001
sm,128,6,10,0.001
sm,128,6,11,0.001
sm,128,6,12,0.001
sm,128,6,13,0.001
sm,128,6,14,0.001
sm,128,6,15,0.001
sm,128,6,16,0.001
sm,128,6,17,0.001
sm,128,6,18,0.001
sm,128,6,19,0.001
sm,128,7,0,0.001
sm,128,7,1,0.001
sm,128,7,2,0.001
sm,128,7,3,0.001
sm,128,7,4,0.001
sm,128,7,5,0.001
sm,128,7,6,0.001
sm,128,7,7,0.001
sm,128,7,8,0.001
sm,128,7,9,0.001
sm,128,7,10,0.001
sm,128,7,11,0.001
sm,128,7,12,0.001
sm,128,7,13,0.001
sm,128,7,14,0.001
sm,128,7,15,0.001
sm,128,7,16,0.001
sm,128,7,17,0.001
sm,128,7,18,0.001
sm,128,7,19,0.001
sm,128,8,0,0.001
sm,128,8,1,0.001
sm,128,8,2,0.001
sm,128,8,3,0.001
sm,128,8,4,0.001
sm,128,8,5,0.001
sm,128,8,6,0.001
sm,128,8,7,0.001
sm,128,8,8,0.001
sm,128,8,9,0.001
sm,128,8,10,0.001
sm,128,8,11,0.001
sm,128,8,12,0.001
sm,128,8,13,0.002
sm,128,8,14,0.001
sm,128,8,15,0.001
sm,128,8,16,0.001
sm,128,8,17,0.001
sm,128,8,18,0.001
sm,128,8,19,0.001
sm,256,1,0,0.001
sm,256,1,1,0.001
sm,256,1,2,0.001
sm,256,1,3,0.001
sm,256,1,4,0.001
sm,256,1,5,0.001
sm,256,1,6,0.001
sm,256,1,7,0.001
sm,256,1,8,0.001
sm,256,1,9,0.001
sm,256,1,10,0.001
sm,256,1,11,0.001
sm,256,1,12,0.001
sm,256,1,13,0.001
sm,256,1,14,0.001
sm,256,1,15,0.001
sm,256,1,16,0.001
sm,256,1,17,0.001
sm,256,1,18,0.001
sm,256,1,19,0.001
sm,256,2,0,0.001
sm,256,2,1,0.001
sm,256,2,2,0.001
sm,256,2,3,0.001
sm,256,2,4,0.001
sm,256,2,5,0.001
sm,256,2,6,0.001
sm,256,2,7,0.001
sm,256,2,8,0.001
sm,256,2,9,0.001
sm,256,2,10,0.001
sm,256,2,11,0.001
sm,256,2,12,0.001
sm,256,2,13,0.001
sm,256,2,14,0.001
sm,256,2,15,0.001
sm,256,2,16,0.001
sm,256,2,17,0.001
sm,256,2,18,0.001
sm,256,2,19,0.001
sm,256,3,0,0.001
sm,256,3,1,0.001
sm,256,3,2,0.001
sm,256,3,3,0.001
sm,256,3,4,0.001
sm,256,3,5,0.001
sm,256,3,6,0.001
sm,256,3,7,0.001
sm,256,3,8,0.001
sm,256,3,9,0.001
sm,256,3,10,0.001
sm,256,3,11,0.001
sm,256,3,12,0.001
sm,256,3,13,0.001
sm,256,3,14,0.001
sm,256,3,15,0.001
sm,256,3,16,0.001
sm,256,3,17,0.001
sm,256,3,18,0.0
sm,256,3,19,0.001
sm,256,4,0,0.001
sm,256,4,1,0.001
sm,256,4,2,0.001
sm,256,4,3,0.001
sm,256,4,4,0.001
sm,256,4,5,0.001
sm,256,4,6,0.001
sm,256,4,7,0.001
sm,256,4,8,0.001
sm,256,4,9,0.001
sm,256,4,10,0.001
sm,256,4,11,0.001
sm,256,4,12,0.001
sm,256,4,13,0.001
sm,256,4,14,0.001
sm,256,4,15,0.001
sm,256,4,16,0.001
sm,256,4,17,0.001
sm,256,4,18,0.001
sm,256,4,19,0.001
sm,256,5,0,0.001
sm,256,5,1,0.001
sm,256,5,2,0.001
sm,256,5,3,0.001
sm,256,5,4,0.001
sm,256,5,5,0.001
sm,256,5,6,0.001
sm,256,5,7,0.001
sm,256,5,8,0.002
sm,256,5,9,0.001
sm,256,5,10,0.001
sm,256,5,11,0.001
sm,256,5,12,0.002
sm,256,5,13,0.002
sm,256,5,14,0.001
sm,256,5,15,0.001
sm,256,5,16,0.002
sm,256,5,17,0.001
sm,256,5,18,0.001
